state,county,candidate,party,total_votes,won,candidate_2
Delaware,Kent County,Joe Biden,DEM,44552,TRUE,Joe Biden
Delaware,Kent County,Donald Trump,REP,41009,FALSE,Donald Trump
Delaware,Kent County,Jo Jorgensen,LIB,1044,FALSE,Other
Delaware,Kent County,Howie Hawkins,GRN,420,FALSE,Other
Delaware,New Castle County,Joe Biden,DEM,195034,TRUE,Joe Biden
Delaware,New Castle County,Donald Trump,REP,88364,FALSE,Donald Trump
Delaware,New Castle County,Jo Jorgensen,LIB,2953,FALSE,Other
Delaware,New Castle County,Howie Hawkins,GRN,1282,FALSE,Other
Delaware,Sussex County,Donald Trump,REP,71230,TRUE,Donald Trump
Delaware,Sussex County,Joe Biden,DEM,56682,FALSE,Joe Biden
Delaware,Sussex County,Jo Jorgensen,LIB,1003,FALSE,Other
Delaware,Sussex County,Howie Hawkins,GRN,437,FALSE,Other
District of Columbia,District of Columbia,Joe Biden,DEM,35485,TRUE,Joe Biden
District of Columbia,District of Columbia,Donald Trump,REP,1506,FALSE,Donald Trump
District of Columbia,District of Columbia,Write-ins,WRI,245,FALSE,Other
District of Columbia,District of Columbia,Howie Hawkins,GRN,224,FALSE,Other
District of Columbia,District of Columbia,Jo Jorgensen,LIB,171,FALSE,Other
District of Columbia,District of Columbia,Gloria La Riva,PSL,94,FALSE,Other
District of Columbia,District of Columbia,Brock Pierce,IND,37,FALSE,Other
District of Columbia,Ward 2,Joe Biden,DEM,26086,TRUE,Joe Biden
District of Columbia,Ward 2,Donald Trump,REP,2558,FALSE,Donald Trump
District of Columbia,Ward 2,Write-ins,WRI,314,FALSE,Other
District of Columbia,Ward 2,Jo Jorgensen,LIB,249,FALSE,Other
District of Columbia,Ward 2,Howie Hawkins,GRN,102,FALSE,Other
District of Columbia,Ward 2,Gloria La Riva,PSL,40,FALSE,Other
District of Columbia,Ward 2,Brock Pierce,IND,33,FALSE,Other
District of Columbia,Ward 3,Joe Biden,DEM,35882,TRUE,Joe Biden
District of Columbia,Ward 3,Donald Trump,REP,3233,FALSE,Donald Trump
District of Columbia,Ward 3,Write-ins,WRI,398,FALSE,Other
District of Columbia,Ward 3,Jo Jorgensen,LIB,284,FALSE,Other
District of Columbia,Ward 3,Howie Hawkins,GRN,144,FALSE,Other
District of Columbia,Ward 3,Gloria La Riva,PSL,64,FALSE,Other
District of Columbia,Ward 3,Brock Pierce,IND,51,FALSE,Other
District of Columbia,Ward 4,Joe Biden,DEM,37842,TRUE,Joe Biden
District of Columbia,Ward 4,Donald Trump,REP,1643,FALSE,Donald Trump
District of Columbia,Ward 4,Write-ins,WRI,248,FALSE,Other
District of Columbia,Ward 4,Howie Hawkins,GRN,202,FALSE,Other
District of Columbia,Ward 4,Jo Jorgensen,LIB,115,FALSE,Other
District of Columbia,Ward 4,Gloria La Riva,PSL,103,FALSE,Other
District of Columbia,Ward 4,Brock Pierce,IND,49,FALSE,Other
District of Columbia,Ward 5,Joe Biden,DEM,39411,TRUE,Joe Biden
District of Columbia,Ward 5,Donald Trump,REP,1545,FALSE,Donald Trump
District of Columbia,Ward 5,Write-ins,WRI,273,FALSE,Other
District of Columbia,Ward 5,Howie Hawkins,GRN,238,FALSE,Other
District of Columbia,Ward 5,Jo Jorgensen,LIB,175,FALSE,Other
District of Columbia,Ward 5,Gloria La Riva,PSL,101,FALSE,Other
District of Columbia,Ward 5,Brock Pierce,IND,82,FALSE,Other
District of Columbia,Ward 6,Joe Biden,DEM,49488,TRUE,Joe Biden
District of Columbia,Ward 6,Donald Trump,REP,3868,FALSE,Donald Trump
District of Columbia,Ward 6,Write-ins,WRI,744,FALSE,Other
District of Columbia,Ward 6,Jo Jorgensen,LIB,483,FALSE,Other
